ID,Nombre,Page,Slug,In_mongo,Active,On_Chain,Link_Thecrowdspace,Headquarter,Operates_in,Linkedin,Instagram,Youtube,X,Facebook,Telegram,Discord,Play_Store,Apple_Store,Tiktok,Medium,Spotify,Line
2,Tokenit,tokenit.cl,,"NO, excepción. Tipo: <class 'KeyError'>. Mensaje: 'links'",Sí,Sí,,Chile,,linkedin.com/company/tokenitcl/,instagram.com/tokenitcl/,youtube.com/channel/UCZp-Dv40xUNLgvhLTN9u18Q,,,,,,,,,,
3,Gluon,gluon.cl,,"NO, excepción. Tipo: <class 'KeyError'>. Mensaje: 'links'",No,,,Chile,,,,,,,,,,,,,,
4,Bloktok,bloktok.io,,"NO, excepción. Tipo: <class 'KeyError'>. Mensaje: 'links'",Sí,Sí,,Chile,,linkedin.com/company/bloktok/,instagram.com/bloktok.io,,,,,,,,,,,
11,TWINO,twino.eu,,"NO, excepción. Tipo: <class 'KeyError'>. Mensaje: 'links'",Sí,,https://thecrowdspace.com/platform/twino/,Letonia,26+,linkedin.com/company/twino/,instagram.com/twino_eu/,,x.com/TWINO_eu,web.facebook.com/TWINOeu/,,,,,,,,
12,Profitus,profitus.com,,"NO, excepción. Tipo: <class 'KeyError'>. Mensaje: 'links'",Sí,,https://thecrowdspace.com/platform/profitus/,Lituania,Lituania,linkedin.com/company/profituslt/,instagram.com/profitus_global/,,,web.facebook.com/ProfitusCOM,,,,,,,,
13,Equity Multiple,equitymultiple.com,,"NO, excepción. Tipo: <class 'KeyError'>. Mensaje: 'links'",Sí,,,,,,,,,,,,,,,,,
15,Mintos,mintos.com,,"NO, excepción. Tipo: <class 'KeyError'>. Mensaje: 'links'",,,thecrowdspace.com/platform/mintos,Latvia,"Europe, Austria, Czech Republic, France, Germany, Italy, Latvia, Netherlands, Poland, Portugal, Spain",linkedin.com/company/mintos,instagram.com/mintos_marketplace,youtube.com/@MintosPlatform/featured,x.com/Mintos,facebook.com/MintosMarketplace,,,,apps.apple.com/app/mintos/id1490400894,,,,
17,RE-LENDER,,,"NO, excepción. Tipo: <class 'KeyError'>. Mensaje: 'links'",,,thecrowdspace.com/platform/relender,Italy,"Europe, Italy",linkedin.com/company/relender,instagram.com/relendereu,youtube.com/@relendereu/videos,,facebook.com/relenderofficial,,,,,,,,
18,Brickstarter,brickstarter.com,,"NO, excepción. Tipo: <class 'KeyError'>. Mensaje: 'links'",,,thecrowdspace.com/platform/brickstarter,Spain,"Europe, Spain",linkedin.com/company/brickstarter,,,twitter.com/brickstarters,facebook.com/brickstarters,,,,,,,,
19,Recrowd,,,"NO, excepción. Tipo: <class 'KeyError'>. Mensaje: 'links'",,,thecrowdspace.com/platform/recrowd-italy,Italy,"Europe, Italy",linkedin.com/company/recrowditalia,,,twitter.com/Recrowdita,facebook.com/recrowd,,,,,,,,
21,PeerBerry,peerberry.com,,"NO, excepción. Tipo: <class 'KeyError'>. Mensaje: 'links'",,,thecrowdspace.com/platform/peerberry,Lithuania,"Europe, Lithuania",linkedin.com/company/peerberry,,,twitter.com/PeerBerry,facebook.com/peerberry,t.me/PeerberryNews,,,apps.apple.com/us/app/peerberry/id1538755335,,,,
23,Lemox,,,"NO, excepción. Tipo: <class 'KeyError'>. Mensaje: 'links'",,,thecrowdspace.com/platform/lemox,Germany,"Europe, Andorra, Albania, Austria, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Macedonia, Malta, Moldova, Monaco, Netherlands, Norway, Poland, Portugal, Romania, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom, Ukraine, Israel, Turkey, Saudi Arabia",linkedin.com/company/lemox-gmbh,instagram.com/lemox.gmbh,youtube.com/@Lemox.Immobilien,,facebook.com/people/Lemox-GmbH/61559601155141,,,,,,,,
25,,zmartup.com,,"NO, excepción. Tipo: <class 'KeyError'>. Mensaje: 'links'",,,thecrowdspace.com/platform/zmartup/https://thecrowdspace.com/platform/zmartup,,,,,,,,,,,,,,,
27,Concrete Investing,concreteinvesting.com,,"NO, excepción. Tipo: <class 'KeyError'>. Mensaje: 'links'",,,thecrowdspace.com/platform/concrete-investing,Italy,"Europe, Italy",,,,,,,,,,,,,
77,SIPA immobilier,sipa.swiss,,"NO, excepción. Tipo: <class 'ValueError'>. Mensaje: Invalid IPv6 URL",,,thecrowdspace.com/platform/sipa-immobilier,Switzerland,"Europe, Switzerland",linkedin.com/showcase/72472865/admin,instagram.com/sipacrowdimmo,youtube.com/channel/UCVdu4BpljblvFrmwurv2U7g,,facebook.com/SIPAimmobilier,,,,,,,,
90,Bona Fides Invest,bonafidesinvest.eu,,"NO, excepción. Tipo: <class 'ValueError'>. Mensaje: Invalid IPv6 URL",,,thecrowdspace.com/platform/bona-fides-invest,Croatia,"Europe, Croatia",hr.linkedin.com/in/tanja-kurili%C4%87-49447844,,,,facebook.com/Cedior,,,,,,,,
98,Vangardi,vangardi.com.br,,"NO, excepción. Tipo: <class 'pymongo.errors.DocumentTooLarge'>. Mensaje: BSON document too large (49768538 bytes) - the connected server supports BSON document sizes up to 16793598 bytes.",Incierto,No,thecrowdspace.com/platform/vangardi,Brazil,"Latin America, Brazil",linkedin.com/company/vangardi,instagram.com/vangardi.investimentos,youtube.com/channel/UCeikqc6oxMSandxm7v9OAFw,x.com/vangardi_invest,facebook.com/vangardi.investimentos,,,,,,,,
